semi,clsno,clsfor,clsName,clsRoom,clsOpt,start,end,week,hour,crid,stuCount,teacher,sch_type
1111,D8964,企管五甲,物流管理,５,必,5,7,星期一,3,3,35,趙正敏,1
1111,D8965,企管五甲,財務規劃與預測,２,必,2,4,星期一,3,3,51,王朝仕,1
1111,D9046,國貿五甲,國際行銷概論,６,必,6,8,星期一,3,3,48,黃彥智,1
1111,D9159,會資五甲,投資學 (另併１班),５,選,5,7,星期一,3,3,23,李固遠,1
1111,D9168,會資五甲,稅務法規與申報實務 (學年),２,必,2,4,星期一,3,3,38,劉政淮,1
1111,D9234,品設科菁英班五甲,包裝設計,３,選,3,4,星期一,2,2,40,侯純純,1
1111,D9239,品設科菁英班五甲,自主學習專業（二）,５,必,5,5,星期一,1,1,40,王譔博,1
1111,D9375,日語五甲,新聞日語 (學年),５,必,5,6,星期一,2,2,53,林敏容,1
1111,D9366,日語五甲,日語文能力檢定對策（三）,７,選,7,8,星期一,2,2,26,張瓊瑜,1
1111,D9462,英語五甲,英語演講與溝通 (學年),５,必,5,6,星期一,2,2,25,徐琍沂,1
1111,D11387,保金五甲,年金與退休金規劃,５,必,5,7,星期一,3,3,39,陳冠志,1
1111,D9633,保金五甲,社會保險,２,必,2,4,星期一,3,3,39,謝淑慧,1
1111,D9652,保金五乙,社會保險,５,必,5,7,星期一,3,3,33,謝淑慧,1
1111,D9768,資工五甲,實務專題（三）,１,必,1,1,星期一,3,2,8,洪啟舜,1
1111,D14370,資工五甲,實務專題（三）,１,必,1,1,星期一,3,2,2,張家瑋,1
1111,D8945,企管四甲,貨幣銀行學 (學年),５,選,5,6,星期一,2,2,42,張瓊燕,1
1111,D8949,企管四甲,管理數學 (學年),７,必,7,8,星期一,2,2,55,盧慶樺,1
1111,D8957,企管四乙,貨幣銀行學 (學年),７,選,7,8,星期一,2,2,40,張瓊燕,1
1111,D8961,企管四乙,管理數學 (學年),５,必,5,6,星期一,2,2,53,盧慶樺,1
1111,D9025,國貿四甲,貨幣銀行學,５,必,5,7,星期一,3,3,48,鄭美幸,1
1111,D9139,會資四甲,企業管理 (學年),２,必,2,4,星期一,3,3,38,林秀霞,1
1111,D9142,會資四甲,會計資訊系統 (學年),５,必,5,7,星期一,3,2,41,盧正宗,1
1111,D9152,會資四乙,成本與管理會計學 (學年),２,必,2,4,星期一,5,4,34,郭佳如,1
1111,D9154,會資四乙,會計資訊系統 (學年),５,必,5,7,星期一,3,2,36,陳美嬪,1
1111,D9227,品設科菁英班四甲,人因工程,２,必,2,4,星期一,3,3,45,王譔博,1
1111,D9225,品設科菁英班四甲,時尚工藝設計,７,選,7,9,星期一,3,3,15,李本育,1
1111,D9229,品設科菁英班四甲,設計史,５,必,5,6,星期一,2,2,44,蔡宜佳,1
1111,D9291,資管四甲,雲端技術與應用,５,必,5,7,星期一,3,3,42,邱啟員,1
1111,D9296,資管四甲,管理數學 (學年),３,必,3,4,星期一,2,2,58,黃慧鳳,1
1111,D9357,日語四甲,日文閱讀指導 (學年),２,必,2,4,星期一,3,3,44,羅曉勤,1
1111,D9358,日語四甲,日文翻譯（一） (學年),５,必,5,6,星期一,2,2,47,葉東哲,1
1111,D9354,日語四甲,日本文學概論,７,必,7,8,星期一,2,2,43,林敏容,1
1111,D9436,英語四甲,商用英語會話,１,必,1,2,星期一,2,2,29,湯宜臻,1
1111,D11553,英語四甲,商用英語會話,１,必,1,2,星期一,2,2,28,馬丁,1
1111,D9435,英語四甲,溝通心理學,３,選,3,4,星期一,2,2,53,徐琍萍,1
1111,D9604,保金四甲,人身保險,２,必,2,4,星期一,3,3,41,曾耀鋒,1
1111,D11386,保金四甲,期貨與選擇權,５,必,5,7,星期一,3,3,41,郭玟秀,1
1111,D9615,保金四乙,人身保險,５,必,5,7,星期一,3,3,43,曾耀鋒,1
1111,D9621,保金四乙,貨幣銀行學 (學年),３,必,3,4,星期一,2,2,45,卓翠月,1
1111,D9741,資工四甲,多媒體系統 (另併１班),５,選,5,7,星期一,3,3,57,黃培勝,1
1111,D8967,企管五甲,企業管理綜合個案研究 (學年),２,必,2,4,星期二,3,3,39,李家瑩鄭正豐,1
1111,D8974,企管五乙,企業管理綜合個案研究 (學年),５,必,5,7,星期二,3,3,41,張淑婷,1
1111,D8972,企管五乙,財務規劃與預測,２,必,2,4,星期二,3,3,38,王朝仕,1
1111,D9044,國貿五甲,國際金融,２,必,2,4,星期二,3,3,48,李桂枝,1
1111,D9161,會資五甲,財務報告分析 (另併１班),５,選,5,7,星期二,3,3,60,林世揚,1
1111,D9184,會資五乙,審計學 (學年),３,必,3,4,星期二,4,4,40,呂學典,1
1111,D9240,品設科菁英班五甲,運動與健康 (學年),５,選,5,6,星期二,2,2,0,體育老師,1
1111,D9305,資管五甲,電子商務概論,５,必,5,7,星期二,3,3,43,蘇文凱,1
1111,D9371,日語五甲,日文商用文書寫作 (學年),３,必,3,4,星期二,2,2,26,南雄太,1
1111,D9372,日語五甲,日語發表演練 (學年),５,必,5,6,星期二,2,2,27,橘孝司,1
1111,D11269,日語五甲,日語發表演練 (學年),５,必,5,6,星期二,2,2,26,堂坂順子,1
1111,D9374,日語五甲,英語口語表達（二） (學年),１,必,1,2,星期二,2,2,53,江彼德,1
1111,D9466,英語五甲,經濟學 (學年),３,必,3,4,星期二,2,2,44,陳佑昌,1
1111,D9460,英語五甲,運動與健康 (學年),５,選,5,6,星期二,2,2,0,體育老師,1
1111,D9525,資應菁英班五甲,伺服器建構與管理,２,必,2,4,星期二,3,3,38,李正賢,1
1111,D9623,保金五甲,企業風險管理與保險規劃 (另併１班),２,選,2,4,星期二,3,3,31,呂書屏,1
1111,D9765,資工五甲,嵌入式系統程式設計,２,選,2,4,星期二,3,3,29,魏季宏,1
1111,D11672,資工五甲,運動與健康 (學年),７,選,7,8,星期二,2,2,0,體育老師,1
1111,D9768,資工五甲,實務專題（三）,１,必,1,1,星期一,3,2,8,洪啟舜,1
1111,D14370,資工五甲,實務專題（三）,１,必,1,1,星期一,3,2,2,張家瑋,1
1111,D11082,體育五甲,運動與健康 - 桌球,５,選,5,6,星期二,2,2,28,陳世恩,1
1111,D11083,體育五乙,運動與健康 - 瑜珈提斯,７,選,7,8,星期二,2,2,22,郭瑜婷,1
1111,D11084,體育五乙,運動與健康 - 桌球,７,選,7,8,星期二,2,2,22,陳世恩,1
1111,D8821,護理四甲,生死觀照 (另併１班),１,選,1,2,星期二,2,2,54,陳芷如,1
1111,D8825,護理四甲,案例分析 (另併１班),１,選,1,2,星期二,2,2,40,陳宥蓁,1
1111,D8833,護理四甲,精神科護理學,５,必,5,7,星期二,3,3,55,柯貞如,1
1111,D8834,護理四甲,護理專業寫作概論,３,必,3,4,星期二,2,2,55,賴秋絨,1
1111,D8849,護理四乙,社區衛生護理學,５,必,5,7,星期二,3,3,50,王淑諒,1
1111,D8851,護理四乙,護理專業寫作概論,３,必,3,4,星期二,2,2,50,陳宥蓁,1
1111,D8946,企管四甲,生涯運動 (學年),７,必,7,8,星期二,2,0,0,體育老師,1
1111,D8939,企管四甲,服務業日文（一） (另併１班),３,選,3,4,星期二,2,2,42,張瓊燕,1
1111,D8958,企管四乙,生涯運動 (學年),５,必,5,6,星期二,2,0,0,體育老師,1
1111,D8960,企管四乙,管理資訊系統 (學年),７,必,7,8,星期二,2,2,45,賴慧敏,1
1111,D9028,國貿四甲,生涯運動 (學年),５,必,5,6,星期二,2,0,0,體育老師,1
1111,D9018,國貿四甲,個體經濟學,２,選,2,4,星期二,3,3,43,王韋能,1
1111,D9138,會資四甲,生涯運動 (學年),５,必,5,6,星期二,2,0,0,體育老師,1
1111,D9140,會資四甲,成本與管理會計學 (學年),２,必,2,4,星期二,5,4,39,郭佳如,1
1111,D9141,會資四甲,高級會計學 (學年),７,必,7,8,星期二,4,3,37,蔡美秀,1
1111,D9150,會資四乙,生涯運動 (學年),７,必,7,8,星期二,2,0,0,體育老師,1
1111,D9151,會資四乙,企業管理 (學年),２,必,2,4,星期二,3,3,34,林秀霞,1
1111,D8853,護理五甲,週會/班會 (學年),７,必,7,8,星期三,2,0,56,葉月珍,1
1111,D8854,護理五乙,週會/班會 (學年),７,必,7,8,星期三,2,0,52,許明珠,1
1111,D8969,企管五甲,週會/班會 (學年),７,必,7,8,星期三,2,0,37,王鈞逸,1
1111,D8976,企管五乙,週會/班會 (學年),７,必,7,8,星期三,2,0,43,張又心,1
1111,D9049,國貿五甲,國際企業概論 (學年),５,必,5,6,星期三,2,2,48,黃俊儒,1
1111,D9051,國貿五甲,週會/班會 (學年),７,必,7,8,星期三,2,0,48,王韋能,1
